"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"230",180044692,"4D","Anti-Jewish","Vandalism","Religious Organization",2018
"231",180014001,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"232",190003502,"4D","Anti-Islamic","Verbal Intimidation/Simple Assault","Individual(s)",2019
"233",16063483,"2D","Anti-Jewish","Flyer Left Behind","Individual(s)",2016
"234",170507863,"2D","Anti-Black","Vandalism","School/College",2017
"235",200014302,"5D","Anti-Other Religion","Vandalism","Religious Organization",2020
"236",200005776,"4D","Anti-Black","Vandalism","School/College",2020
"237",190025231,"2D","Anti-Black","Vandalism","Society",2019
"238",190007085,"5D","Anti-Black","Assault (simple)","Individual(s)",2019
"239",180056355,"4D","Anti-Transgender","Assault (physical)","Individual(s)",2018
"240",16060113,"2D","Anti-Other Ethnicity","Written Intimidation/Simple Assault","Individual(s)",2016
"241",170516376,"GCPD","Anti-Black","Vandalism","Individual(s)",2017
"242",190030993,"1D","Anti-Black","Vandalism","Other",2019
"243",190021305,"4D","Anti-Asian","Vandalism","Individual(s)",2019
"244",180007926,"1D","Anti-Black","Vandalism","School/College",2018
"245",190019957,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"246",200003031,"RCPD","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2020
"247",170508252,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"248",200001072,"TPPD","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2020
"249",17012521,"1D","Anti-Catholic","Vandalism","Individual(s)",2017
"250",17004089,"3D","Anti-Jewish","Vandalism","School/College",2017
"251",180012537,"6D","Anti-Black","Vandalism","Government",2018
"252",180001592,"4D","Anti-Multi-Racial","Vandalism","Individual(s)",2018
"253",180054728,"6D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2018
"254",16061267,"1D","Anti-Black","Vandalism","School/College",2016
"255",16010040,"6D","Anti-Jewish","Vandalism","Other",2016
"256",16034348,"2D","Anti-Jewish","Vandalism","Government",2016
"257",190037127,"4D","Anti-Black","Vandalism","Individual(s)",2019
"258",200012207,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2020
"259",190043481,"GCPD","Anti-Multi-Racial","Vandalism","Society",2019
"260",200005935,"4D","Anti-Transgender","Verbal Intimidation/Simple Assault","Individual(s)",2020
"261",200015065,"RCPD","Anti-Jewish","Vandalism","Business/Financial Institution",2020
"262",180036449,"5D","Anti-Jewish","Flyer Left Behind","Individual(s)",2018
"263",200012731,"RCPD","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2020
"264",190048760,"GCPD","Anti-Asian","Assault (physical)","Individual(s)",2019
"265",170540409,"2D","Anti-Jewish","Written Intimidation/Simple Assault","School/College",2017
"266",170542528,"4D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2017
"267",170513374,"4D","Anti-Black","Vandalism","School/College",2017
"268",180060495,"5D","Anti-Black","Assault (physical)","Individual(s)",2018
"269",17010553,"4D","Anti-Islamic","Written Intimidation/Simple Assault","Religious Organization",2017
"270",200006894,"2D","Anti-Jewish","Vandalism","School/College",2020
"271",190015019,"2D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
"272",180014071,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"273",17005248,"6D","Anti-Black","Assault (physical)","Individual(s)",2017
"274",190059278,"1D","Anti-Jewish","Vandalism","School/College",2019
"275",190014251,"1D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Individual(s)",2019
"276",180011102,"4D","Anti-White","Written Intimidation/Simple Assault","Individual(s)",2018
"277",17010455,"2D","Anti-Jewish","Verbal Intimidation/Simple Assault","School/College",2017
"278",170532001,"3D","Anti-Jewish","Vandalism","Government",2017
"279",180022971,"RCPD","Anti-Black","Assault (physical)","Individual(s)",2018
"280",16020077,"4D","Anti-Black","Other","School/College",2016
"281",190033954,"4D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
"282",170526017,"4D","Anti-Homosexual","Vandalism","Individual(s)",2017
"283",170537332,"1D","Anti-Black","Physical Intimidation/Simple Assault","Government",2017
"284",190031138,"RCPD","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"285",16007812,"4D","Anti-Multi-Racial","Vandalism","Other",2016
"286",17005552,"5D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2017
"287",17008261,"4D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"288",180015906,"2D","Anti-Transgender","Assault (physical)","Individual(s)",2018
"289",17001156,"RCPD","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"290",190011458,"3D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2019
"291",180020921,"GCPD","Anti-Multi-Racial","Vandalism","Society",2018
"292",16053043,"5D","Anti-White","Assault (physical)","Individual(s)",2016
"293",190019923,"RCPD","Anti-Jewish","Vandalism","Individual(s)",2019
"294",180049428,"4D","Anti-Black","Written Intimidation/Simple Assault","School/College",2018
"295",200009369,"2D","Anti-Jewish","Vandalism","School/College",2020
"296",16038833,"4D","Anti-Transgender","Assault (physical)","Individual(s)",2016
"297",16030124,"5D","Anti-White","Assault (physical)","Individual(s)",2016
"298",200013722,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2020
"299",190041063,"5D","Anti-Multi-Racial","Written Intimidation/Simple Assault","Business/Financial Institution",2019
"300",190009605,"3D","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"301",180057207,"4D","Anti-Asian","Verbal Intimidation/Simple Assault","Business/Financial Institution",2018
"302",16032895,"3D","Anti-Black","Vandalism","Individual(s)",2016
"303",16052250,"2D","Anti-Jewish","Vandalism","School/College",2016
"304",180008956,"3D","Anti-Hispanic","Vandalism","Society",2018
"305",17012225,"2D","Anti-Black","Vandalism","School/College",2017
"306",17014656,"1D","Anti-Hispanic","Verbal Intimidation/Simple Assault","School/College",2017
"307",190019525,"2D","Anti-Homosexual","Written Intimidation/Simple Assault","Religious Organization",2019
"308",180052330,"TPPD","Anti-Jewish","Vandalism","Individual(s)",2018
"309",170533042,"1D","Anti-Black","Vandalism","School/College",2017
"310",200020889,"1D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2020
"311",200021971,"4D","Anti-Black","Vandalism","Business/Financial Institution",2020
"312",190016854,"RCPD","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2019
